datasetKey,Observer,Focus_Vert,Focus_Mam
3cc1bf3e-e503-4d2a-9b23-a54b9269ebbe,Scientific,TRUE,TRUE
3fa8e2b7-43c0-490e-b30e-b1902caa9bf0,Scientific,TRUE,TRUE
4273f8ff-73c6-4791-89dc-b64f47b7416a,Scientific,TRUE,TRUE
4cb30996-cc6a-44b9-b0c6-fce6f109d41f,Scientific,TRUE,TRUE
4e19e2b8-9934-4b5a-a51f-62df5a9802e7,Scientific,TRUE,TRUE
4f03bd51-a00c-4060-9eb6-b8db70c8a07b,Scientific,TRUE,TRUE
52922205-6477-4999-9d4a-d38999aa32eb,Citizen,TRUE,TRUE
52e809ec-8487-4e88-8c8d-1c7c14cf11c2,Mixed,TRUE,TRUE
56a946bf-bd42-4a54-8543-4380d92f9762,Mixed,TRUE,TRUE
5b580625-29f0-4911-be29-cf5b6496e538,Citizen,TRUE,TRUE
5d030f0a-968a-43dd-8a94-931702f56f57,Scientific,TRUE,TRUE
5d06e33b-e884-4369-9a1a-fdc8bfa9471c,Mixed,TRUE,TRUE
73846baa-cba6-48e0-94e0-9308dae5c6bb,Citizen,TRUE,TRUE
7445a910-faa2-4f43-b650-d2f055bfb0d7,Scientific,TRUE,TRUE
7940f474-4cb3-4a49-b4f6-58f8c363dba1,Mixed,TRUE,TRUE
7ba44a6f-e031-4c43-9c7c-d8de11263558,Scientific,TRUE,TRUE
852348b9-453f-4aa2-a9db-69f9cda6fc77,Scientific,TRUE,TRUE
8578e332-e4b6-4050-ae19-8ac9d0c49c96,Mixed,TRUE,TRUE
91b8e6ed-6771-4c39-a681-516fefd6d072,Mixed,TRUE,TRUE
95c79da4-a323-474d-92ae-6c252701db1e,Mixed,TRUE,TRUE
9fad752d-4bf9-4adf-9535-3cf6339a70fb,Scientific,TRUE,TRUE
ae1c0f69-c920-4a94-94d5-4a0b08966a86,Scientific,TRUE,TRUE
b5209d78-638b-4af9-942e-76fcf1f17bd9,Mixed,TRUE,TRUE
bc3f2018-2924-4fe8-86d4-261c9b9fa71f,Citizen,TRUE,TRUE
bd552593-f9c8-4b54-8887-fb00b647c6f9,Scientific,TRUE,TRUE
bde5b63d-8664-4632-bc8b-d06653b09b22,Scientific,TRUE,TRUE
cb4c3a5c-3b28-41a3-ace9-9fa7c60e0b31,Mixed,TRUE,TRUE
cbde2a70-7a85-4370-b240-09e0738f76f9,Citizen,TRUE,TRUE
cddb8a18-c755-4ca6-9561-8dcbb8af82d7,Scientific,TRUE,TRUE
cf5142d2-bde7-4733-b07a-68bf370d52aa,Mixed,TRUE,TRUE
d0cee8f6-dbf9-4355-a9c2-62ab51fe36fd,Citizen,TRUE,TRUE
e21033eb-b5b1-4043-a035-abf57e65efe7,Mixed,TRUE,TRUE
e8ce41f4-a58a-4ce9-90b7-93694071afcd,Citizen,TRUE,TRUE
edf03db8-68cf-48ac-a545-15f89c88e113,Scientific,TRUE,TRUE
ee0321a6-9e6d-4501-94aa-f12cef9c5680,Scientific,TRUE,TRUE
efde0b80-02d6-4e50-9e6a-4b4329bfeec6,Mixed,TRUE,TRUE
f5815965-adce-4f6a-a56c-af93032b7e3f,Scientific,TRUE,TRUE
fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2,Mixed,TRUE,TRUE
