"Publisher" "Observer" "FocusTaxaTorF" "datasetKey"
"NRW Regional Data: North Wales" "Scientific" FALSE "90eae6b8-57d2-4d24-8eb3-1dbde00f1669"
"TWIC Hedgehog Public Survey" "Scientific" TRUE "52922205-6477-4999-9d4a-d38999aa32eb"
"Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data" "Scientific" FALSE "887e6209-ea70-46a7-9652-fc94ca97ae0a"
"SNH Bat Casework records 1970-2007" "Scientific" TRUE "95c79da4-a323-474d-92ae-6c252701db1e"
"INNS Data: All Taxa (West Wales)" "Scientific" TRUE "56a946bf-bd42-4a54-8543-4380d92f9762"
"Copeland Island Bird Observatory SeaWatch Survey" "Scientific" TRUE "bc3f2018-2924-4fe8-86d4-261c9b9fa71f"
"Borders Backyard Biodiversity" "Scientific" TRUE "852348b9-453f-4aa2-a9db-69f9cda6fc77"
"National Water Vole Database & Mapping Project (Scotland data), 2008" "Scientific" TRUE "b5209d78-638b-4af9-942e-76fcf1f17bd9"
"Survey of distribution of beavers in Tayside in 2012" "Scientific" FALSE "04e0550a-e142-4658-9575-3e46fb6675b7"
"Batsites inventory for England (1949-2011)" "Scientific" TRUE "5d030f0a-968a-43dd-8a94-931702f56f57"
"Mammal records captured from Licence Returns submitted to Natural Resources Wales" "Scientific" FALSE "5520dc44-3ed6-4825-8a69-9e93c3829371"
"Natural England Marine Monitoring surveys" NA TRUE "fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2"
"HBRG Badger Dataset" "Scientific" FALSE "c0dd4990-1803-4d6b-bc06-2f7eeaba100d"
"Merseyside BioBank (unverified)" "Scientific" FALSE "0284b82d-cdd1-4d67-83bd-c8e42e988adb"
"Seatrust Cetacean Records West Wales" NA TRUE "5d06e33b-e884-4369-9a1a-fdc8bfa9471c"
"Brecknock Wildlife Trust (Now WTSWW Brecknockhire) records held by BIS" "Scientific" FALSE "07609307-26f9-490f-89ea-4e74497e3c0d"
"Stackpole National Nature Reserve Species Inventory and Ad-hoc Sightings from Across Pembrokeshire" NA FALSE "daae5a66-7bb4-4431-ac3c-a1bf70ca3407"
"NRW Regional Data: South East Wales Sensitive species" "Scientific" FALSE "e19276e7-0698-4145-ab85-c32c6c76b098"
"Manx Bat Group records 1848 to 2016" "Scientific" TRUE "ae1c0f69-c920-4a94-94d5-4a0b08966a86"
"England Otter Survey Database" "Scientific" TRUE "3fa8e2b7-43c0-490e-b30e-b1902caa9bf0"
"DBRC Lutra lutra records 1952 - 2016" "Scientific" TRUE "3cc1bf3e-e503-4d2a-9b23-a54b9269ebbe"
"Natural Resources Wales Regional Data : Mid-Wales" "Scientific" FALSE "abd3521c-f459-468e-9039-f989786147d4"
"Bechstein's Bat Survey Project" "Scientific" TRUE "2f17fba4-4915-47cc-9045-f8c7c8ea181e"
"Ty Canol National Nature Reserve (NNR) Species Inventory" NA FALSE "942c4e36-624d-4054-a6cd-b7db0b24926a"
"Mid Ulster Hare Surveys 2012-2015" "Scientific" TRUE "07d54123-75b8-4660-9482-e4c665e6f069"
"Water vole distribution within Broadland (2003-2006): based upon field signs, sightings and trapping data." "Scientific" TRUE "4cb30996-cc6a-44b9-b0c6-fce6f109d41f"
"Sheffield and Rotherham Wildlife Trust - Records" "Scientific" FALSE "cef450df-7155-4c9d-9eb3-7b9b4d868bfa"
