datasetKey,Publisher,Dataset,Observer,Focus_Vert,Focus_Mam
415f27b8-65e5-4cb3-878d-649ac43350d1,NA,RSPB Reserves breeding bird surveys,Scientific,TRUE,TRUE
44c73c0b-662e-41e7-8eee-4754a8592a27,NA,Bird Conservation Targeting Project (BCTP) in the UK,Scientific,TRUE,TRUE
4575bf91-0c65-47a8-84cb-0b36111f8956,NA,Record Pool,Mixed,FALSE,FALSE
48cd7d66-191b-4896-a2bf-f0665dad7a89,NA,1921 Onwards Occupied Swift Nests,Mixed,TRUE,TRUE
4ac5f415-6f44-43d0-a19b-2d91e5dcbe2b,NA,Bird Conservation Targeting Project (BCTP) in the UK,Mixed,TRUE,TRUE
4fa7b334-ce0d-4e88-aaae-2e0c138d049e,NA,EOD eBird Observation Dataset,Citizen,TRUE,TRUE
523590f0-f87d-4fed-acd2-6873bdce0a8c,NA,RECORD Aves Data,Mixed,TRUE,TRUE
547f2b71-ba25-4254-aaf1-4823600e7784,NA,Merseyside BioBank Active Naturalists (unverified),Mixed,FALSE,FALSE
58a18d87-e572-4191-96a7-9b960a8df7e0,NA,Corncrake national surveys - territory centres,Scientific,TRUE,TRUE
5accf920-492e-4641-9ba2-11481c116419,NA,Highland bird data 2002 - 2003 - non-breeding records,Mixed,TRUE,TRUE
60773d5b-30e5-48ac-9d63-a2b81ffe5cfa,NA,Bird records for Argyll for the years 2002 and 2003,Mixed,TRUE,TRUE
62af450d-0b71-4469-93c1-fc0999aa9807,NA,Great crested newt presence records determined from Class Licence return documents (2013-2018),Scientific,TRUE,TRUE
669ecb52-bfbe-4220-99c7-bafc643df32e,NA,Kingfisher Survey 2010,Scientific,TRUE,TRUE
699a09d4-951c-4a10-9cd6-7bddbbb92546,NA,Corncrake national surveys - raw data,Scientific,TRUE,TRUE
6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,naturgucker,Citizen,FALSE,FALSE
71577ce3-32ea-4cf7-8046-b8ed4e098ffc,NA,North East Scotland Birds (1883-2010),Mixed,TRUE,TRUE
80576d53-992a-41f3-a3e3-dfd0fa0242ee,NA,Ireland's BioBlitz,Scientific,FALSE,FALSE
8821e36f-2d25-44c8-a95e-fb978f38ecde,NA,SER Site-based Surveys,Scientific,FALSE,FALSE
912ac7b3-f473-435b-97d1-20b6ed0a6208,NA,RSPB Big Garden Birdwatch winter sightings in the UK in 2009,Citizen,TRUE,TRUE
93c8cc03-30cf-474e-8173-dbe5a22a5d28,NA,JNCC seabird distribution and abundance data (all trips) from ESAS database,Scientific,TRUE,TRUE
a8c8144a-3693-4d92-8bc4-49e00dd8defc,NA,Survey and monitoring records for Scottish Wildlife Trust reserves from reserve convenors and Trust volunteers - Verified data,Mixed,FALSE,FALSE
b1047888-ae52-4179-9dd5-5448ea342a24,NA,Xeno-canto - Bird sounds from around the world,Citizen,TRUE,TRUE
b480871a-6c2f-4c35-ab94-6de203c4ff28,NA,Merseyside BioBank Active Naturalists (verified),Mixed,FALSE,FALSE
d135ba77-9d68-466b-bff9-8d1a0c53b7d7,NA,Observatoire Pelagis boat surveys 2003-2021,Scientific,TRUE,TRUE
d2a0dd22-9d39-4de2-99fb-5dde3ee3f49e,NA,South East Scotland Tetrad Atlas 2008 - 2013 - non-sensitive breeding species,Scientific,TRUE,TRUE
ddcc85ee-cb47-47a6-8789-711d6852145a,NA,1994-2021 Capercaillie Cold Searches Data,Scientific,TRUE,TRUE
eaaabe3b-e64a-4819-a007-2c3529eb4bf7,NA,NPWS Seal Database,Mixed,TRUE,TRUE
f32a222c-9b32-47d2-8d29-b48be4a78128,NA,Wader survey on Uist in 2007,Scientific,TRUE,TRUE
f84902b2-ef45-4e89-83e7-5d1f190f0562,NA,RECORD Amphibian Data,Mixed,TRUE,TRUE
039ece6c-1e6d-4441-8392-43ab8bb29c47,Ad-hoc Bat Records from Across Wales,NA,Mixed,TRUE,TRUE
046fedf4-29ee-45e9-a421-a4b82c229f1d,"Marine mammal monitoring from coastal sites in Cardigan Bay, UK, 2004-2009",NA,Mixed,TRUE,TRUE
07d54123-75b8-4660-9482-e4c665e6f069,Mid Ulster Hare Surveys 2012-2015,NA,Scientific,TRUE,TRUE
11a24c97-653b-4e4c-a524-a4c06ffab25f,"Scottish Beaver Trial observations, Knapdale, 2009-2014",NA,Scientific,TRUE,TRUE
2150bbfa-51d0-4557-ab15-fb9459881eb7,INNS Data: All Taxa (South East Wales),INNS Data: All Taxa (South East Wales),Mixed,TRUE,TRUE
2790adc5-c709-427c-8d04-804590d98272,Roost Count,Field Survey,Scientific,TRUE,TRUE
2e3454ce-5b2d-4bf4-bc23-ca5769f58137,The Scottish Squirrel Database,The Scottish Squirrel Database,Mixed,TRUE,TRUE
2f17fba4-4915-47cc-9045-f8c7c8ea181e,Bechstein's Bat Survey Project,NA,Scientific,TRUE,TRUE
2f79cc6e-6b14-4162-a4b5-e7415f0716ea,RECORD Mammal Data,RECORD Mammal Data,Mixed,TRUE,TRUE
3c2fb76f-ed3f-40dc-bb40-21adbbd857d5,Isle of Wight Notable Species,Isle of Wight Notable Species,Mixed,TRUE,TRUE
3cc1bf3e-e503-4d2a-9b23-a54b9269ebbe,DBRC Lutra lutra records 1952 - 2016,NA,Scientific,TRUE,TRUE
3fa8e2b7-43c0-490e-b30e-b1902caa9bf0,England Otter Survey Database,NA,Scientific,TRUE,TRUE
4273f8ff-73c6-4791-89dc-b64f47b7416a,Natural England bat roost visit records from 2013 onwards,Natural England bat roost visit records from 2013 onwards,Scientific,TRUE,TRUE
4cb30996-cc6a-44b9-b0c6-fce6f109d41f,"Water vole distribution within Broadland (2003-2006): based upon field signs, sightings and trapping data.",NA,Scientific,TRUE,TRUE
4e19e2b8-9934-4b5a-a51f-62df5a9802e7,Hibernation Survey,Hibernation Survey,Scientific,TRUE,TRUE
4f03bd51-a00c-4060-9eb6-b8db70c8a07b,Tayside Beaver Survey 2017-18,Tayside Beaver Survey 2017-18,Scientific,TRUE,TRUE
52922205-6477-4999-9d4a-d38999aa32eb,TWIC Hedgehog Public Survey,NA,Citizen,TRUE,TRUE
52e809ec-8487-4e88-8c8d-1c7c14cf11c2,RECORD Chiroptera Data,RECORD Chiroptera Data,Mixed,TRUE,TRUE
56a946bf-bd42-4a54-8543-4380d92f9762,INNS Data: All Taxa (West Wales),NA,Mixed,TRUE,TRUE
5b580625-29f0-4911-be29-cf5b6496e538,Hedgehog Hibernation Survey records,Hedgehog Hibernation Survey records,Citizen,TRUE,TRUE
5d030f0a-968a-43dd-8a94-931702f56f57,Batsites inventory for England (1949-2011),NA,Scientific,TRUE,TRUE
5d06e33b-e884-4369-9a1a-fdc8bfa9471c,Seatrust Cetacean Records West Wales,NA,Mixed,TRUE,TRUE
73846baa-cba6-48e0-94e0-9308dae5c6bb,Hedgehog records 2005-2006: Hogwatch and Rural Landowner surveys,Hedgehog records 2005-2006: Hogwatch and Rural Landowner surveys,Citizen,TRUE,TRUE
7445a910-faa2-4f43-b650-d2f055bfb0d7,Waterway Survey,Waterway Survey,Scientific,TRUE,TRUE
7940f474-4cb3-4a49-b4f6-58f8c363dba1,"North East Scotland Terrestrial Mammals 1900-2017 (excluding squirrels, wild cats and marine mammals)",North East Scotland Terrestrial Mammals 1900-2017 (excluding squirrels,Mixed,TRUE,TRUE
7ba44a6f-e031-4c43-9c7c-d8de11263558,United Kingdom National Whale Stranding Database 1913-2008,United Kingdom National Whale Stranding Database 1913-2008,Scientific,TRUE,TRUE
852348b9-453f-4aa2-a9db-69f9cda6fc77,Borders Backyard Biodiversity,Borders Backyard Biodiversity,Scientific,TRUE,TRUE
8578e332-e4b6-4050-ae19-8ac9d0c49c96,Leicestershire and Rutland Protected and Conservation Priority/BAP Specie,NA,Mixed,TRUE,TRUE
91b8e6ed-6771-4c39-a681-516fefd6d072,Derbyshire & Peak District Protected Species Database (Summary of available records 1970- 2008),Derbyshire & Peak District Protected Species Database (Summary of available records 1970- 2008),Mixed,TRUE,TRUE
95c79da4-a323-474d-92ae-6c252701db1e,SNH Bat Casework records 1970-2007,NA,Mixed,TRUE,TRUE
9fad752d-4bf9-4adf-9535-3cf6339a70fb,Department of Agriculture Environment and Rural Affairs (DAERA) Marine and Fisheries Division Marine Survey Data,Department of Agriculture Environment and Rural Affairs (DAERA) Marine and Fisheries Division Marine Survey Data,Scientific,TRUE,TRUE
ae1c0f69-c920-4a94-94d5-4a0b08966a86,Manx Bat Group records 1848 to 2016,NA,Scientific,TRUE,TRUE
b5209d78-638b-4af9-942e-76fcf1f17bd9,"National Water Vole Database & Mapping Project (Scotland data), 2008",NA,Mixed,TRUE,TRUE
bc3f2018-2924-4fe8-86d4-261c9b9fa71f,Copeland Island Bird Observatory SeaWatch Survey,NA,Citizen,TRUE,TRUE
bd552593-f9c8-4b54-8887-fb00b647c6f9,NBMP Sunset-Sunrise Survey,NA,Scientific,TRUE,TRUE
bde5b63d-8664-4632-bc8b-d06653b09b22,DBRC Arvicola amphibius records 1925 - 2016,NA,Scientific,TRUE,TRUE
cb4c3a5c-3b28-41a3-ace9-9fa7c60e0b31,Cumbria Non Native Invasive Species,Cumbria Non Native Invasive Species,Mixed,TRUE,TRUE
cbde2a70-7a85-4370-b240-09e0738f76f9,Big Hedgehog Map records,Big Hedgehog Map records,Citizen,TRUE,TRUE
cddb8a18-c755-4ca6-9561-8dcbb8af82d7,Other Mammal Data from National Dormouse Monitoring Programme (NDMP),Other Mammal Data from National Dormouse Monitoring Programme (NDMP),Scientific,TRUE,TRUE
cf5142d2-bde7-4733-b07a-68bf370d52aa,Glasgow Museums BRC: Mammals,Glasgow Museums BRC: Mammals,Mixed,TRUE,TRUE
d0cee8f6-dbf9-4355-a9c2-62ab51fe36fd,Invasive Species and Pests,Invasive Species and Pests,Citizen,TRUE,TRUE
e21033eb-b5b1-4043-a035-abf57e65efe7,National Dormouse Database (NDD),National Dormouse Database (NDD),Mixed,TRUE,TRUE
e8ce41f4-a58a-4ce9-90b7-93694071afcd,WDC Shorewatch Sightings,WDC Shorewatch Sightings,Citizen,TRUE,TRUE
edf03db8-68cf-48ac-a545-15f89c88e113,The BCT/MTUK Bats & Roadside Mammals Survey,The BCT/MTUK Bats & Roadside Mammals Survey,Scientific,TRUE,TRUE
ee0321a6-9e6d-4501-94aa-f12cef9c5680,David Dodds Associates Ltd - Species Records,NA,Scientific,TRUE,TRUE
efde0b80-02d6-4e50-9e6a-4b4329bfeec6,Records of Invasive Non Native Species held on the Cofnod database,NA,Mixed,TRUE,TRUE
f5815965-adce-4f6a-a56c-af93032b7e3f,Irish Whale and Dolphin Group,Irish Whale and Dolphin Group,Scientific,TRUE,TRUE
fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2,Natural England Marine Monitoring surveys,NA,Mixed,TRUE,TRUE
